img,cat
n12677841_4651,nonanimal
n04482975_10422,nonanimal
n03644858_8730,nonanimal
n11717399_21125,nonanimal
n01693175_4302,animal
n02389026_9509,animal
n02470709_3978,animal
n12509993_2548,nonanimal
n09454153_16616,nonanimal
n01629819_4927,animal
n04331892_3437,nonanimal
n04066023_2681,nonanimal
n02082190_97,animal
n04006067_19560,nonanimal
n11817501_5178,nonanimal
n01646648_7600,animal
n02109811_4650,animal
n12635532_12876,nonanimal
n12172906_858,nonanimal
n02357111_8972,animal
n02138777_5738,animal
n03678879_1858,nonanimal
n02585872_4267,animal
n02747802_5908,nonanimal
n02432983_15157,animal
n03412387_7262,nonanimal
n12742290_1770,nonanimal
n01540832_8453,animal
n02487847_930,animal
n12155009_6327,nonanimal
n02036228_2174,animal
n01665541_3412,animal
n03602365_4583,nonanimal
n04563413_770,nonanimal
n02010272_9539,animal
n02086079_10043,animal
n02434954_270,animal
n02932523_8588,nonanimal
n01677747_665,animal
n02432511_1982,animal
n01935395_44209,animal
n02368116_2210,animal
n02103841_4498,animal
n01607429_7594,animal
n02487547_7216,animal
n02192252_2487,animal
n02447021_693,animal
n01538200_3611,animal
n04376400_710,nonanimal
n03674440_4077,nonanimal
n09281252_6472,nonanimal
n12891305_7023,nonanimal
n03249342_13215,nonanimal
n02359047_4199,animal
n03000134_1515,nonanimal
n02125081_2664,animal
n01530439_11670,animal
n02448885_3254,animal
n02356381_5018,animal
n02587051_172,animal
n01887623_6988,animal
n12462582_3689,nonanimal
n01577458_1802,animal
n12766043_151,nonanimal
n04141712_17469,nonanimal
n12088909_3695,nonanimal
n02957135_4415,nonanimal
n12703716_753,nonanimal
n02418064_1669,animal
n12849952_4410,nonanimal
n02922292_19543,nonanimal
n01847089_8004,animal
n03778817_333,nonanimal
n11792341_5172,nonanimal
n02382437_1013,animal
n02494079_5443,animal
n02445004_6694,animal
n04345028_4256,nonanimal
n01669654_4810,animal
n01682435_2208,animal
n02366002_1878,animal
n02353411_33,animal
n03936466_6961,nonanimal
n03940894_3620,nonanimal
n02058594_6026,animal
n03233744_10869,nonanimal
n02113799_1642,animal
n01675722_2727,animal
n11610437_353,nonanimal
n07754451_13730,nonanimal
n02419796_10973,animal
n01552034_70,animal
n02126028_8092,animal
n01528845_929,animal
n12643113_10867,nonanimal
n01681653_2369,animal
n01871265_5671,animal
n03904657_15849,nonanimal
n02119634_9045,animal
n02510455_6209,animal
n02129463_8382,animal
n03245421_3289,nonanimal
n11704791_11555,nonanimal
n03071021_21673,nonanimal
n02006063_8886,animal
n03710193_716,nonanimal
n11626152_2590,nonanimal
n02052775_168,animal
n11834272_4589,nonanimal
n02082791_1735,animal
n02376918_7756,animal
n01565599_11528,animal
n12769065_3314,nonanimal
n12920521_1932,nonanimal
n04305471_3708,nonanimal
n12679593_2908,nonanimal
n01792042_2129,animal
n01843065_5065,animal
n02119247_980,animal
n04295777_4176,nonanimal
n04590021_11457,nonanimal
n09476123_1155,nonanimal
n04607759_1102,nonanimal
n12443736_3856,nonanimal
n04441662_2850,nonanimal
n11654293_11148,nonanimal
n12506991_4341,nonanimal
n01859190_11675,animal
n11925898_32955,nonanimal
n11786539_21230,nonanimal
n02486657_2186,animal
n12610328_14361,nonanimal
n01562014_9382,animal
n01753180_5396,animal
n04462240_11900,nonanimal
n02364673_3624,animal
n02147947_2471,animal
n04153025_13628,nonanimal
n03352232_5829,nonanimal
n02983904_4650,nonanimal
n01852671_2052,animal
n12407715_3305,nonanimal
n02499808_10931,animal
n01617443_3434,animal
n13188767_2573,nonanimal
n12680864_5562,nonanimal
n03382856_5060,nonanimal
n02486261_681,animal
n01792955_8179,animal
n02140049_3438,animal
n01322508_8769,animal
n04406239_4586,nonanimal
n12665659_818,nonanimal
n02114712_17837,animal
n02775178_1924,nonanimal
n01564217_4421,animal
n01793085_1710,animal
n13171210_1831,nonanimal
n02328009_2058,animal
n01785667_2087,animal
n03165955_2219,nonanimal
n03421768_9031,nonanimal
n02132788_339,animal
n02231803_211,animal
n12817694_2647,nonanimal
n01548492_1076,animal
n09393524_927,nonanimal
n09251407_3953,nonanimal
n03857828_39492,nonanimal
n02527622_5023,animal
n02123394_1831,animal
n02123242_4833,animal
n03193260_4190,nonanimal
n04039742_5873,nonanimal
n01732989_2704,animal
n01497738_548,animal
n12061614_853,nonanimal
n03712111_3772,nonanimal
n11734698_66,nonanimal
n04207343_6383,nonanimal
n03174731_3377,nonanimal
n12620969_4289,nonanimal
n01848840_1328,animal
n02878222_14740,nonanimal
n11769803_1798,nonanimal
n12180456_10686,nonanimal
n03785016_299,nonanimal
n01597906_1904,animal
n12573647_2176,nonanimal
n02136794_2775,animal
n02110958_3793,animal
n02779971_4003,nonanimal
n12559044_1249,nonanimal
n02361090_512,animal
n04449449_2935,nonanimal
n02180875_2819,animal
n02017213_3398,animal
n04295353_4118,nonanimal
n12940609_563,nonanimal
n12506341_637,nonanimal
n01567879_5697,animal
n12584715_20,nonanimal
n02372952_3929,animal
n04442441_470,nonanimal
n02430748_793,animal
n02621258_3974,animal
n02457945_5364,animal
n04081699_6983,nonanimal
n03127531_709,nonanimal
n02527271_5595,animal
n11861641_7214,nonanimal
n01859689_2344,animal
n07774719_6905,nonanimal
n02357401_4353,animal
n02299039_146,animal
n02085936_4271,animal
n12352990_2431,nonanimal
n02971579_15590,nonanimal
n01740885_3658,animal
n12664710_19509,nonanimal
n01585715_4389,animal
n03665924_43110,nonanimal
n04307986_5810,nonanimal
n01793435_3869,animal
n01813088_2254,animal
n02304036_531,animal
n01738306_482,animal
n09245515_7643,nonanimal
n01582498_440,animal
n12179632_19859,nonanimal
n04495555_910,nonanimal
n13108481_3721,nonanimal
n12337246_229,nonanimal
n02411705_2554,animal
n09206896_1034,nonanimal
n12786273_2824,nonanimal
n01736375_897,animal
n01756089_5886,animal
n03095965_1847,nonanimal
n11872658_2968,nonanimal
n03388549_1925,nonanimal
n03440876_3794,nonanimal
n02493793_6148,animal
n01678043_530,animal
n03321954_2048,nonanimal
n02492035_5523,animal
n01576358_247,animal
n02125311_2411,animal
n01910252_5265,animal
n07751004_12191,nonanimal
n01755581_8977,animal
